RINEX,role,lat,lon
ANSG,감시국(전환),37.0121521610011,127.265788210474
BOEN,감시국(전환),36.4883683565952,127.730266879129
BONH,감시국(전환),36.9440104935808,128.914519507934
BSNG,감시국(전환),34.8929484089356,127.134976548365
CCSB,감시국(전환),37.9475699173623,127.754926473285
CHEN,감시국(전환),36.8780086711941,127.155252669723
CHLW,감시국(전환),38.1644825274302,127.415244334054
CHNG,감시국(전환),35.5333112464176,128.478060394525
CHYG,감시국(전환),36.458901953551,126.801495139766
CNJU,감시국(전환),36.6268945513762,127.461227046147
DANJ,감시국(전환),36.8924198792652,126.823046237164
DOND,감시국(전환),37.9020525559794,127.06074004283
GHDG,감시국(전환),35.2705390346667,128.985087119143
GNGJ,감시국(전환),37.7234931413487,128.853457342837
GOCH,감시국(전환),35.6679010882173,127.94333105253
GOSG,감시국(전환),34.9806637195981,128.307704979576
GSAN,감시국(전환),36.8161654043141,127.786789885824
GYOI,감시국(전환),35.6736045466406,129.288617102527
HCSN,감시국(전환),38.0629133490932,127.524250351998
ICOR,감시국(전환),37.4197903294953,126.643840806551
INCH,감시국(전환),37.4198577390898,126.686438964196
INJE,감시국(전환),38.0694636252523,128.170794557892
JECH,감시국(전환),36.909772342147,128.165918261908
JSUN,감시국(전환),37.3693813560053,128.684639423524
JUNG,감시국(전환),35.6227662082695,126.974028478931
JUNJ,감시국(전환),35.8434519980762,127.135124903947
KIMC,감시국(전환),36.1373982880008,128.142292229086
KUNW,감시국(전환),36.2334793522273,128.574239681116
KWNJ,감시국(전환),35.1783753772216,126.910236786491
MUAN,감시국(전환),34.8174311865794,126.466225919593
MUJU,감시국(전환),36.0032879190986,127.661174582376
MYSO,감시국(전환),35.5017941667763,128.815765492237
NAMW,감시국(전환),35.4230463947251,127.396173766431
NSAN,감시국(전환),36.194164044674,127.112322430894
OJBU,감시국(전환),37.7548718646884,127.106665794534
PAJU,감시국(전환),37.746406460382,126.737898038553
PCHN,감시국(전환),37.5346679723743,128.446043983568
PJMS,감시국(전환),37.8860408885394,126.766213743492
POCN,감시국(전환),38.0185818139551,127.190970242422
POHN,감시국(전환),35.9101436977655,129.402944465108
PSJA,감시국(전환),35.3821881894553,129.248736009064
PUSN,감시국(전환),35.2339375585522,129.074844902395
SIAN,감시국(전환),34.7868909301601,126.148147996123
SONC,감시국(전환),34.9574820814896,127.486134903586
SOUL,감시국(전환),37.6185519591801,127.098348179066
SUWN,감시국(전환),37.2755146984885,127.054240185328
TABK,감시국(전환),37.1636459286871,128.986078564795
TEGN,감시국(전환),35.9063065595469,128.801967427609
WNJU,감시국(전환),37.3372070850833,127.947088516042
WSJG,감시국(전환),35.5656809318309,129.317050180296
WSSN,감시국(전환),35.5454203905723,129.118962800844
YANJ,감시국(전환),37.6968937235653,126.931622267419
YANP,감시국(전환),37.4541889229596,127.505622915336
YCHG,감시국(전환),35.9808747536241,129.106430093034
YCIG,감시국(전환),36.0527820964567,129.040014124871
YCMP,감시국(전환),35.9729426647664,128.926924055742
YDKG,감시국(전환),36.3629515414682,129.390436550818
YEOJ,감시국(전환),37.2785749393126,127.578303584575
YONK,감시국(전환),35.2785832030126,126.516470524001
CHJU,기준국,33.5139264454097,126.529820018745
CHSG,기준국,36.4356283408688,129.05634598065
CHUL,기준국,38.2732682004925,127.145211917368
CHWN,기준국,35.2361209192383,128.692994632271
DAMY,기준국,35.2358471524027,127.016466130979
DONH,기준국,37.5069852449412,129.124203483515
GANH,기준국,37.7193787412174,126.390240436678
GGEO,기준국,34.0748548424775,125.110831655624
GOHG,기준국,34.5657909080352,127.258010308857
GOJE,기준국,34.7217868979884,128.590869224419
GYJU,기준국,35.7554499815158,129.039073431729
HADG,기준국,35.1624163385192,127.709234814725
HCHN,기준국,38.3080894991442,127.679544210617
HONC,기준국,37.7091608981177,128.194324973319
ICHN,기준국,37.1174036850806,127.613035502922
IMJA,기준국,35.0870251892791,126.119951763187
JAHG,기준국,34.6753488354197,126.899570952443
JANS,기준국,35.6416303823542,127.522231795304
JIND,기준국,34.4719939715853,126.323731889883
JJHG,기준국,33.3697558563333,126.206393604928
KUSN,기준국,36.0054715287759,126.761550655684
NAMH,기준국,34.723876592773,127.981668912725
NAMY,기준국,37.7199920104234,127.300039547283
SEJN,기준국,36.5222133823273,127.303189872213
SEOS,기준국,36.7764091065718,126.494202704642
SGWI,기준국,33.2866327596567,126.750608350356
SMAN,기준국,35.7302747558994,126.527938948627
SNJU,기준국,36.3791645191305,128.144477161781
SSAN,기준국,33.4678045857269,126.904713433965
SUNJ,기준국,35.9140761242867,128.256127627144
SWGS,기준국,37.2577268114117,126.983161859526
WNDO,기준국,34.3353699866282,126.742826454241
WOLS,기준국,35.5039467178259,129.416014823988
WULJ,기준국,36.9919765241795,129.412995515804
YNGU,기준국,38.2908316070054,128.141129668072
YODK,기준국,36.533461493435,129.409050821859
YOWL,기준국,37.1825182326382,128.461813279264
YYAN,기준국,38.1050964535808,128.640391175466
