maxBaseKm,boundaryShrink,nRef,nMon,nValidCells,area_km2
80,0,53,46,38,62064.3092812681
90,0,45,54,43,81918.1915823324
100,0,40,59,39,87326.4545348811
110,0,40,59,42,91537.0395901253
120,0,33,66,37,101633.443666484
130,0,32,67,37,103626.421507998
80,0.25,54,45,38,60859.3916445224
90,0.25,47,52,44,80567.5005310334
100,0.25,43,56,40,86621.947493185
110,0.25,41,58,42,91271.211547982
120,0.25,36,63,37,99826.5589713473
130,0.25,34,65,35,101819.536812862
80,0.5,56,43,38,59750.9871008924
90,0.5,49,50,42,78917.8431225275
100,0.5,44,55,39,85531.229365663
110,0.5,43,56,42,90317.5733553729
120,0.5,36,63,36,99677.5784810732
130,0.5,34,65,34,101670.556322587
80,0.75,57,42,38,58026.9647052326
90,0.75,52,47,42,75746.518120434
100,0.75,46,53,39,82881.9608064175
110,0.75,45,54,43,88382.2260509325
120,0.75,39,60,38,96212.1000437694
130,0.75,39,60,40,100391.858441871
80,1,58,41,37,53803.3423896913
90,1,53,46,41,70641.9470253766
100,1,47,52,39,78339.3980730287
110,1,46,53,42,83277.6549558751
120,1,40,59,37,91107.528948712
130,1,40,59,38,92944.8016887231
